,potential,iteration
0,0.28125,4999
1,0.28125,4999
2,0.03125,4999
3,0.46875,4999
4,0.46875,4999
5,0.03125,4999
6,0.03125,4999
7,0.34375,4999
8,0.03125,4999
9,0.03125,4999
10,0.28125,4999
11,0.03125,4999
12,0.03125,4999
13,0.03125,4999
14,0.03125,4999
15,0.03125,4999
16,0.03125,4999
17,0.03125,4999
18,0.03125,4999
19,0.03125,4999
20,0.03125,4999
21,0.03125,4999
22,0.03125,4999
23,0.03125,4999
24,0.28125,4999
25,0.03125,4999
26,0.03125,4999
27,0.03125,4999
28,0.03125,4999
29,0.03125,4999
30,0.21875,4999
31,0.40625,4999
32,0.03125,4999
33,0.03125,4999
34,0.03125,4999
35,0.03125,4999
36,0.0,1221
37,0.0,2092
38,0.34375,4999
39,0.21875,4999
40,0.03125,4999
41,0.03125,4999
42,0.46875,4999
43,0.03125,4999
44,0.03125,4999
45,0.21875,4999
46,0.03125,4999
47,0.03125,4999
48,0.03125,4999
49,0.03125,4999
50,0.28125,4999
51,0.0,3745
52,0.03125,4999
53,0.03125,4999
54,0.03125,4999
55,0.03125,4999
56,0.03125,4999
57,0.03125,4999
58,0.0,857
59,0.03125,4999
60,0.34375,4999
61,0.03125,4999
62,0.03125,4999
63,0.03125,4999
64,0.03125,4999
65,0.21875,4999
66,0.46875,4999
67,0.03125,4999
68,0.03125,4999
69,0.03125,4999
70,0.03125,4999
71,0.03125,4999
72,0.28125,4999
73,0.03125,4999
74,0.03125,4999
75,0.03125,4999
76,0.03125,4999
77,0.03125,4999
78,0.0,3600
79,0.46875,4999
80,0.03125,4999
81,0.21875,4999
82,0.03125,4999
83,0.03125,4999
84,0.03125,4999
85,0.28125,4999
86,0.34375,4999
87,0.03125,4999
88,0.03125,4999
89,0.03125,4999
90,0.03125,4999
91,0.28125,4999
92,0.03125,4999
93,0.03125,4999
94,0.03125,4999
95,0.53125,4999
96,0.28125,4999
97,0.21875,4999
98,0.03125,4999
99,0.28125,4999
100,0.28125,4999
101,0.03125,4999
102,0.46875,4999
103,0.46875,4999
104,0.03125,4999
105,0.03125,4999
106,0.03125,4999
107,0.03125,4999
108,0.03125,4999
109,0.03125,4999
110,0.03125,4999
111,0.03125,4999
112,0.03125,4999
113,0.40625,4999
114,0.03125,4999
115,0.03125,4999
116,0.03125,4999
117,0.40625,4999
118,0.03125,4999
119,0.03125,4999
120,0.34375,4999
121,0.03125,4999
122,0.0,3571
123,0.15625,4999
124,0.0,2215
125,0.03125,4999
126,0.46875,4999
127,0.03125,4999
128,0.03125,4999
129,0.03125,4999
130,0.46875,4999
131,0.40625,4999
132,0.46875,4999
133,0.03125,4999
134,0.03125,4999
135,0.0,1171
136,0.03125,4999
137,0.03125,4999
138,0.03125,4999
139,0.03125,4999
140,0.03125,4999
141,0.03125,4999
142,0.03125,4999
143,0.03125,4999
144,0.03125,4999
145,0.03125,4999
146,0.03125,4999
147,0.03125,4999
148,0.03125,4999
149,0.03125,4999
150,0.03125,4999
151,0.34375,4999
152,0.03125,4999
153,0.03125,4999
154,0.40625,4999
155,0.21875,4999
156,0.03125,4999
157,0.03125,4999
158,0.03125,4999
159,0.46875,4999
160,0.03125,4999
161,0.40625,4999
162,0.03125,4999
163,0.46875,4999
164,0.03125,4999
165,0.03125,4999
166,0.21875,4999
167,0.03125,4999
168,0.03125,4999
169,0.40625,4999
170,0.03125,4999
171,0.03125,4999
172,0.03125,4999
173,0.03125,4999
174,0.03125,4999
175,0.03125,4999
176,0.21875,4999
177,0.40625,4999
178,0.03125,4999
179,0.03125,4999
180,0.40625,4999
181,0.03125,4999
182,0.21875,4999
183,0.03125,4999
184,0.46875,4999
185,0.03125,4999
186,0.21875,4999
187,0.21875,4999
188,0.03125,4999
189,0.0,1241
190,0.46875,4999
191,0.03125,4999
192,0.03125,4999
193,0.03125,4999
194,0.21875,4999
195,0.21875,4999
196,0.03125,4999
197,0.28125,4999
198,0.0,4130
199,0.21875,4999
200,0.0,1160
201,0.03125,4999
202,0.03125,4999
203,0.03125,4999
204,0.03125,4999
205,0.34375,4999
206,0.03125,4999
207,0.03125,4999
208,0.03125,4999
209,0.03125,4999
210,0.03125,4999
211,0.03125,4999
212,0.09375,4999
213,0.03125,4999
214,0.03125,4999
215,0.03125,4999
216,0.03125,4999
217,0.03125,4999
218,0.46875,4999
219,0.0,1223
220,0.03125,4999
221,0.03125,4999
222,0.03125,4999
223,0.21875,4999
224,0.03125,4999
225,0.03125,4999
226,0.0,392
227,0.0,2757
228,0.03125,4999
229,0.46875,4999
230,0.40625,4999
231,0.21875,4999
232,0.09375,4999
233,0.03125,4999
234,0.03125,4999
235,0.03125,4999
236,0.03125,4999
237,0.15625,4999
238,0.03125,4999
239,0.28125,4999
240,0.03125,4999
241,0.03125,4999
242,0.03125,4999
243,0.0,1186
244,0.46875,4999
245,0.28125,4999
246,0.03125,4999
247,0.03125,4999
248,0.03125,4999
249,0.28125,4999
250,0.03125,4999
251,0.03125,4999
252,0.03125,4999
